Animal_ID	Age	Sex	Primary_classification_N	Class	Malnutrition	Trauma	Primary_bacterial_infection	Secondary_bacterial_infection	Congenital_defect	Protozoa	Otostrongylis	Herpes	Primary_classification	sMLH
ES2766	pup	Male	1	Control	1	0	0	0	0	0	0	0	Malnutrition	1.51152329040963
ES2771	pup	Female	1	Control	1	0	0	0	0	0	0	0	Malnutrition	0.971693543834761
ES2783	pup	Female	1	Control	1	0	0	1	0	0	0	0	Malnutrition	0.755761645204814
ES2806	pup	Male	1	Control	1	0	0	0	0	0	0	0	Malnutrition	1.07965949314973
ES2813	pup	Female	1	Control	1	0	0	0	0	0	0	0	Malnutrition	0.755761645204814
ES2839	pup	Male	1	Control	1	0	0	0	0	0	0	0	Malnutrition	1.01130022610223
ES2841	pup	Male	1	Control	1	0	0	0	0	0	0	0	Malnutrition	0.801902080057918
ES2853	pup	Female	1	Control	1	0	0	0	0	0	0	0	Malnutrition	0.755761645204814
ES2855	pup	Female	1	Control	1	0	0	0	0	0	0	0	Malnutrition	0.863727594519787
ES2856	pup	Male	1	Control	1	0	0	0	0	0	0	0	Malnutrition	1.33317424507392
ES2865	pup	Male	1	Control	1	0	0	0	0	0	0	0	Malnutrition	1.01130022610223
ES2875	pup	Male	1	Control	1	0	0	0	0	0	0	0	Malnutrition	0.971693543834761
ES2879	pup	Female	1	Control	1	0	0	0	0	0	0	0	Malnutrition	1.07965949314973
ES2887	pup	Male	1	Control	1	0	0	0	0	0	0	0	Malnutrition	1.07965949314973
ES2896	pup	Male	1	Control	1	0	0	0	0	0	0	0	Malnutrition	0.674200150734823
ES2902	pup	Male	1	Control	1	0	0	0	0	0	0	0	Malnutrition	0.647795695889841
ES2934	pup	Female	1	Control	1	0	0	0	0	0	0	0	Malnutrition	0.863727594519787
ES2942	pup	Female	1	Control	1	0	0	0	0	0	0	0	Malnutrition	0.755761645204814
ES2976	pup	Male	1	Control	1	0	0	0	0	0	0	0	Malnutrition	1.03101696007447
ES2978	pup	Male	1	Control	1	0	0	0	0	0	0	0	Malnutrition	1.18762544246471
ES2980	pup	Male	1	Control	1	0	0	0	0	0	0	0	Malnutrition	0.687344640049644
ES2985	pup	Male	1	Control	1	1	0	0	0	0	0	0	Malnutrition	0.971693543834761
ES2986	pup	Female	1	Control	1	0	0	0	0	0	0	0	Malnutrition	1.60380416011584
ES2991	pup	Female	1	Control	1	0	0	0	0	0	0	0	Malnutrition	0.990025897838007
ES2997	pup	Male	1	Control	1	0	0	0	0	0	0	0	Malnutrition	1.13844406426009
ES3009	pup	Female	1	Control	1	0	0	0	1	0	0	0	Malnutrition	1.07965949314973
ES3020	pup	Female	1	Control	1	0	0	0	0	0	0	0	Malnutrition	0.755761645204814
ES3023	pup	Female	1	Control	1	0	0	0	0	0	0	0	Malnutrition	0.755761645204814
ES3025	pup	Female	1	Control	1	0	0	0	0	0	0	0	Malnutrition	1.18762544246471
ES3027	pup	Male	1	Control	1	0	0	0	0	0	0	0	Malnutrition	1.14557440008274
ES3031	pup	Female	1	Control	1	0	0	0	0	0	0	0	Malnutrition	0.356102168286529
ES3035	pup	Male	1	Control	1	0	0	0	0	0	0	0	Malnutrition	1.21197658643084
ES3037	pup	Male	1	Control	1	0	0	0	0	0	0	0	Malnutrition	0.971693543834761
ES3039	pup	Female	1	Control	1	0	0	0	0	0	0	0	Malnutrition	1.6194892397246
ES3044	pup	Female	1	Control	1	0	0	0	0	0	0	0	Malnutrition	0.801902080057918
ES3052	pup	Male	1	Control	1	0	0	0	0	0	0	0	Malnutrition	0.863727594519787
ES3055	pup	Female	1	Control	1	0	0	0	0	0	0	0	Malnutrition	0.863727594519787
ES3062	pup	Male	1	Control	1	0	0	0	0	0	0	0	Malnutrition	1.40355734109465
ES3148	pup	Male	1	Control	1	0	0	0	0	0	0	0	Malnutrition	1.40355734109465
ES3150	pup	Female	1	Control	1	0	0	0	0	0	0	0	Malnutrition	0.863727594519787
ES3151	pup	Male	1	Control	1	0	0	0	0	0	0	0	Malnutrition	1.12366691789137
ES3152	pup	Male	1	Control	1	0	0	0	0	0	0	0	Malnutrition	0.863727594519787
ES3153	pup	Female	1	Control	1	0	0	0	0	0	0	0	Malnutrition	1.6194892397246
ES3154	pup	Female	1	Control	1	0	0	0	0	0	0	0	Malnutrition	1.07965949314973
ES3157	pup	Male	1	Control	1	0	0	0	0	0	0	0	Malnutrition	1.26951285333611
ES3160	pup	Female	1	Control	1	0	0	0	0	0	0	0	Malnutrition	1.18762544246471
ES3163	pup	Male	1	Control	1	0	0	0	0	0	0	0	Malnutrition	1.18762544246471
ES3169	pup	Male	1	Control	1	0	0	0	0	0	0	0	Malnutrition	0.687344640049644
ES3174	pup	Female	1	Control	1	0	0	0	0	0	0	0	Malnutrition	0.788102890665824
ES3175	pup	Male	1	Control	1	0	0	0	0	0	0	0	Malnutrition	1.18762544246471
ES3180	pup	Female	1	Control	1	0	0	0	0	0	0	0	Malnutrition	0.898933534313097
ES3182	pup	Male	1	Control	1	0	0	0	0	0	0	0	Malnutrition	1.33951876070785
ES3189	pup	Male	1	Control	1	0	0	0	0	0	0	0	Malnutrition	1.29559139177968
ES3193	pup	Male	1	Control	1	0	0	0	0	0	0	0	Malnutrition	0.956194318203674
ES3197	pup	Male	1	Control	1	0	0	0	0	0	0	0	Malnutrition	0.971693543834761
ES3203	Pup	Male	1	Control	1	0	0	0	0	0	0	0	Malnutrition	0.971693543834761
ES3214	pup	Male	1	Control	1	0	0	0	0	0	0	0	Malnutrition	0.78656684252396
ES3247	weaner	Female	1	Control	1	0	0	0	0	0	0	0	Malnutrition	1.07965949314973
ES3256	pup	Male	1	Control	1	0	0	0	0	0	0	0	Malnutrition	NA
ES3258	pup	Female	1	Control	1	0	0	0	0	0	0	0	Malnutrition	0.32389784794492
ES3279	pup	Female	1	Control	1	0	0	0	0	0	0	0	Malnutrition	1.29559139177968
ES3283	pup	Male	1	Control	1	0	0	0	0	0	0	0	Malnutrition	1.18762544246471
ES3290	pup	Male	1	Control	1	0	0	0	0	0	0	0	Malnutrition	0.863727594519787
ES3291	pup	Male	1	Control	1	0	0	0	0	0	0	0	Malnutrition	0.916459520066192
ES3300	pup	Female	1	Control	1	0	0	0	0	0	0	0	Malnutrition	1.51152329040963
ES3306	pup	Female	1	Control	1	0	0	0	0	0	0	0	Malnutrition	0.727185951858504
ES3332	pup	Female	1	Control	1	0	0	0	0	0	0	0	Malnutrition	1.09077892778776
ES3357	pup	Male	1	Control	1	0	0	0	0	0	0	0	Malnutrition	1.29559139177968
ES2532	pup	Female	2	Control	0	1	0	0	0	0	0	0	Trauma	0.755761645204814
ES2551	pup	Male	2	Control	0	1	0	0	0	0	0	0	Trauma	1.10227645977535
ES2554	pup	Male	2	Control	0	1	0	0	0	0	0	0	Trauma	0.755761645204814
ES2628	Yearling	Female	2	Control	0	1	0	0	0	0	0	0	Trauma	0.727185951858504
ES2719	pup	Female	2	Control	0	1	0	1	0	0	0	0	Trauma	0.863727594519787
ES2787	pup	Male	2	Control	0	1	0	0	0	0	0	0	Trauma	1.07965949314973
ES2792	pup	Male	2	Control	1	1	0	0	0	0	0	0	Trauma	0.971693543834761
ES2816	pup	Male	2	Control	0	1	0	1	0	0	0	0	Trauma	1.07965949314973
ES2826	pup	Male	2	Control	0	1	0	0	0	0	0	0	Trauma	1.12366691789137
ES2829	pup	Male	2	Control	0	1	0	0	0	0	0	0	Trauma	1.03101696007447
ES2832	Yearling	Male	2	Control	0	1	0	0	0	0	0	0	Trauma	0.898933534313097
ES2852	pup	Male	2	Control	0	1	0	0	0	0	0	1	Trauma	0.755761645204814
ES2868	pup	Male	2	Control	0	1	0	0	0	0	0	0	Trauma	0.971693543834761
ES2872	pup	Male	2	Control	0	1	0	1	0	0	0	0	Trauma	0.971693543834761
ES2956	pup	Male	2	Control	0	1	0	0	0	0	0	0	Trauma	1.07965949314973
ES3011	pup	Male	2	Control	0	1	0	0	0	0	0	0	Trauma	0.971693543834761
ES3155	pup	Female	2	Control	0	1	0	1	0	0	0	0	Trauma	0.971693543834761
ES3354	pup	Female	2	Control	0	1	0	0	0	0	0	0	Trauma	0.830810534824705
FnMa012912	Pup	Male	2	Control	0	1	0	1	0	0	0	0	Trauma	NA
ES2593	pup	Male	3	Case	0	0	1	0	0	0	0	0	Primary_bacterial_infection	1.18762544246471
ES3206	pup	Female	3	Case	1	0	1	1	0	0	0	0	Primary_bacterial_infection	1.03101696007447
ES3207	pup	Male	3	Case	0	0	1	0	0	0	0	0	Primary_bacterial_infection	0.971693543834761
ES3230	pup	Male	3	Case	0	0	1	0	0	0	0	0	Primary_bacterial_infection	1.33951876070785
ES2557	pup	Male	3	Case	1	0	0	1	0	0	0	0	Secondary_bacterial_infection	1.18762544246471
ES2599	pup	Male	3	Case	0	0	0	1	1	0	0	0	Secondary_bacterial_infection	0.863727594519787
ES2603	Yearling	Male	3	Case	0	0	0	1	0	0	0	0	Secondary_bacterial_infection	0.992048813797819
ES2641	Yearling	Male	3	Case	0	1	0	1	0	0	0	0	Secondary_bacterial_infection	1.61662134655291
ES2690	pup	Male	3	Case	1	0	0	1	1	0	0	0	Secondary_bacterial_infection	1.02459965783408
ES2729	pup	Female	3	Case	0	0	0	1	0	0	0	0	Secondary_bacterial_infection	1.51152329040963
ES2774	pup	Male	3	Case	0	0	0	1	1	0	0	1	Secondary_bacterial_infection	1.29559139177968
ES2775	pup	Male	3	Case	1	1	0	1	0	0	0	1	Secondary_bacterial_infection	1.23603360968051
ES2782	pup	Female	3	Case	1	0	0	1	0	0	0	0	Secondary_bacterial_infection	0.863727594519787
ES2794	pup	Female	3	Case	1	0	0	1	0	0	0	0	Secondary_bacterial_infection	0.971693543834761
ES2795	pup	Male	3	Case	1	0	0	1	0	0	0	1	Secondary_bacterial_infection	1.07965949314973
ES2830	pup	Female	3	Case	0	0	0	1	0	0	0	1	Secondary_bacterial_infection	0.863727594519787
ES2850	pup	Male	3	Case	1	0	0	1	1	0	0	0	Secondary_bacterial_infection	0.712123315564033
ES2876	pup	Female	3	Case	0	0	0	1	0	0	0	0	Secondary_bacterial_infection	0.647795695889841
ES2936	pup	Male	3	Case	0	0	0	1	0	0	0	0	Secondary_bacterial_infection	0.916459520066192
ES2945	pup	Female	3	Case	1	1	0	0	0	0	0	0	Secondary_bacterial_infection	0.801902080057918
ES3019	pup	Female	3	Case	1	0	0	1	0	0	0	0	Secondary_bacterial_infection	0.863727594519787
ES3159	pup	Male	3	Case	1	0	0	1	0	0	0	0	Secondary_bacterial_infection	0.863727594519787
ES3208	pup	Male	3	Case	0	0	0	1	0	0	0	0	Secondary_bacterial_infection	1.40355734109465
ES3252	Yearling	Female	3	Case	0	0	0	1	0	0	0	0	Secondary_bacterial_infection	0.971693543834761
ES3289	pup	Male	3	Case	0	0	0	1	0	0	0	0	Secondary_bacterial_infection	0.647795695889841
ES3330	Yearling	Female	3	Case	0	0	0	1	0	0	0	0	Secondary_bacterial_infection	0.683066438556055
ES3351	pup	Female	3	Case	1	1	0	1	0	0	0	0	Secondary_bacterial_infection	0.727185951858504
ES3369	pup	Male	3	Case	0	0	0	1	0	0	0	0	Secondary_bacterial_infection	1.07965949314973
ES2581	pup	Female	4	Control	1	0	0	0	1	0	0	0	Congenital_defect	0.781385943746244
ES2730	pup	Female	4	Control	0	1	0	0	1	0	0	0	Congenital_defect	0.755761645204814
ES2741	pup	Male	4	Control	0	0	0	0	1	0	0	0	Congenital_defect	1.07965949314973
ES2763	pup	Female	4	Control	1	0	0	0	1	0	0	0	Congenital_defect	1.48924672010756
ES2820	pup	Male	4	Control	0	0	0	0	1	0	0	0	Congenital_defect	1.18762544246471
ES2854	pup	Male	4	Control	1	0	0	0	1	0	0	0	Congenital_defect	0.971693543834761
ES2857	pup	Male	4	Control	0	0	0	0	1	0	0	0	Congenital_defect	0.848383610501588
ES2989	pup	Male	4	Control	1	0	0	0	1	0	0	0	Congenital_defect	1.03101696007447
ES2999	pup	Female	4	Control	1	0	0	0	1	0	0	0	Congenital_defect	1.03101696007447
ES3060	pup	Male	4	Control	0	0	0	0	1	0	0	0	Congenital_defect	1.07965949314973
ES3061	pup	Male	4	Control	0	1	0	0	1	0	0	0	Congenital_defect	1.27893773512761
ES3149	Pup	Female	4	Control	0	1	0	0	1	0	0	0	Congenital_defect	1.13844406426009
ES3211	pup	Male	4	Control	1	0	0	0	1	0	0	0	Congenital_defect	0.687344640049644
ES3217	pup	Male	4	Control	0	0	0	0	1	0	0	0	Congenital_defect	0.755761645204814
ES3218	pup	Male	4	Control	0	0	0	0	1	0	0	0	Congenital_defect	0.916459520066192
ES3223	pup	Male	4	Control	0	0	0	0	1	0	0	0	Congenital_defect	1.18762544246471
ES3255	pup	Male	4	Control	1	0	0	0	1	0	0	0	Congenital_defect	1.07965949314973
ES3304	pup	Male	4	Control	1	0	0	0	1	0	0	0	Congenital_defect	1.29559139177968
ES2695	pup	Male	5	Case	0	0	0	0	0	1	0	0	Protozoa	NA
ES2714	Pup	Female	5	Case	1	0	0	0	0	1	0	0	Protozoa	1.07965949314973
ES2715	Pup	Male	5	Case	1	1	0	0	0	1	0	0	Protozoa	0.893012507138565
ES3347	pup	Female	5	Case	0	0	0	0	0	1	0	0	Protozoa	0.916459520066192
ES2576	pup	Female	6	Case	0	0	0	0	0	0	1	0	Otostrongylis	1.07965949314973
ES2586	pup	Female	6	Case	1	0	0	0	0	0	1	1	Otostrongylis	0.458229760033096
ES2588	pup	Male	6	Case	0	0	0	0	0	0	1	0	Otostrongylis	1.07965949314973
ES2589	pup	Male	6	Case	0	0	0	0	0	0	1	0	Otostrongylis	0.647795695889841
ES2594	pup	Male	6	Case	0	0	0	0	1	0	1	0	Otostrongylis	0.755761645204814
ES2624	pup	Male	6	Case	0	0	0	0	0	0	1	1	Otostrongylis	1.03101696007447
ES2692	pup	Male	6	Case	0	0	0	0	0	0	1	0	Otostrongylis	1.07965949314973
ES2697	pup	Male	6	Case	0	0	0	0	0	0	1	0	Otostrongylis	0.57278720004137
ES2698	pup	Male	6	Case	1	0	0	0	0	0	1	0	Otostrongylis	1.07965949314973
ES2740	pup	Male	6	Case	0	0	0	0	0	0	1	0	Otostrongylis	1.07965949314973
ES2772	pup	Female	6	Case	1	0	0	0	0	0	1	0	Otostrongylis	1.29559139177968
ES2805	pup	Female	6	Case	0	0	0	0	0	0	1	0	Otostrongylis	1.6194892397246
ES2808	pup	Female	6	Case	0	0	0	0	0	0	1	0	Otostrongylis	1.12366691789137
ES2810	pup	Male	6	Case	0	0	0	0	1	0	1	0	Otostrongylis	0.755761645204814
ES2811	pup	Female	6	Case	0	0	0	0	0	0	1	0	Otostrongylis	1.12366691789137
ES2821	pup	Female	6	Case	0	0	0	0	0	1	1	0	Otostrongylis	0.239048579550918
ES2825	pup	Female	6	Case	0	1	0	0	0	0	1	0	Otostrongylis	1.07965949314973
ES2845	pup	Male	6	Case	0	0	0	0	0	0	1	0	Otostrongylis	0.971693543834761
ES2895	pup	Male	6	Case	0	0	0	0	0	0	1	0	Otostrongylis	0.919814662938736
ES2906	pup	Female	6	Case	0	0	0	0	0	0	1	0	Otostrongylis	0.863727594519787
ES2909	pup	Female	6	Case	0	0	0	1	0	0	1	0	Otostrongylis	1.18762544246471
ES2910	pup	Female	6	Case	1	0	0	0	0	0	1	0	Otostrongylis	0.343672320024822
ES2913	pup	Female	6	Case	0	0	0	0	0	0	1	0	Otostrongylis	0.458229760033096
ES2915	pup	Female	6	Case	1	0	0	0	0	0	1	0	Otostrongylis	0.863727594519787
ES2919	pup	Male	6	Case	0	0	0	0	0	0	1	0	Otostrongylis	0.647795695889841
ES2920	pup	Female	6	Case	0	0	0	0	0	0	1	0	Otostrongylis	0.971693543834761
ES2923	pup	Female	6	Case	0	0	0	0	0	0	1	0	Otostrongylis	NA
ES2927	pup	Female	6	Case	0	0	0	0	0	0	1	0	Otostrongylis	1.01130022610223
ES2929	pup	Female	6	Case	1	0	0	0	0	0	1	0	Otostrongylis	0.561833458945685
ES2930	pup	Female	6	Case	1	0	0	0	0	0	1	0	Otostrongylis	0.971693543834761
ES2943	pup	Female	6	Case	0	0	0	0	0	0	1	0	Otostrongylis	1.07965949314973
ES2944	pup	Male	6	Case	0	0	0	0	0	0	1	0	Otostrongylis	0.971693543834761
ES2946	pup	Male	6	Case	0	0	0	0	0	0	1	0	Otostrongylis	0.647795695889841
ES2948	pup	Female	6	Case	0	0	0	0	0	0	1	0	Otostrongylis	1.14557440008274
ES2952	pup	Female	6	Case	1	0	0	0	0	0	1	0	Otostrongylis	0.755761645204814
ES2954	pup	Male	6	Case	0	0	0	0	0	0	1	0	Otostrongylis	1.03101696007447
ES2955	pup	Female	6	Case	0	0	0	0	0	0	1	0	Otostrongylis	0.755761645204814
ES2957	pup	Male	6	Case	0	0	0	0	0	0	1	0	Otostrongylis	1.26013184009101
ES2960	pup	Male	6	Case	0	0	0	0	0	0	1	0	Otostrongylis	0.647795695889841
ES3124	pup	Female	6	Case	0	0	0	0	0	0	1	0	Otostrongylis	1.03101696007447
ES3129	pup	Male	6	Case	0	1	0	0	0	0	1	0	Otostrongylis	0.801902080057918
ES3200	pup	Male	6	Case	1	1	0	0	0	0	1	0	Otostrongylis	1.07965949314973
ES3225	weaner	Male	6	Case	0	0	0	0	0	0	1	0	Otostrongylis	1.00463907053089
ES3231	pup	Male	6	Case	0	0	0	0	0	0	1	0	Otostrongylis	1.18762544246471
ES3232	Yearling	Male	6	Case	0	0	0	0	0	0	1	0	Otostrongylis	0.971693543834761
ES3287	pup	Male	6	Case	0	0	0	0	0	0	1	0	Otostrongylis	0.916459520066192
ES3296	pup	Female	6	Case	0	0	0	0	0	0	1	0	Otostrongylis	0.863727594519787
ES3307	pup	Male	6	Case	0	0	0	0	0	0	1	0	Otostrongylis	0.971693543834761
ES3311	pup	Male	6	Case	1	0	0	0	0	0	1	0	Otostrongylis	1.18762544246471
ES3314	pup	Male	6	Case	0	0	0	0	0	0	1	0	Otostrongylis	1.07965949314973
ES3323	pup	Male	6	Case	0	0	0	0	0	0	1	0	Otostrongylis	1.72745518903957
ES3329	pup	Male	6	Case	0	0	0	0	0	0	1	0	Otostrongylis	1.21197658643084
ES3331	Yearling	Male	6	Case	0	0	0	0	0	0	1	0	Otostrongylis	0.755761645204814
ES3335	pup	Female	6	Case	0	0	0	0	0	0	1	0	Otostrongylis	0.863727594519787
ES3342	pup	Male	6	Case	0	0	0	0	0	0	1	0	Otostrongylis	1.07965949314973
ES3344	pup	Female	6	Case	0	0	0	0	0	0	1	0	Otostrongylis	1.40355734109465
ES3350	pup	Female	6	Case	0	0	0	0	0	0	1	0	Otostrongylis	1.07965949314973
ES3356	pup	Female	6	Case	0	0	0	0	0	0	1	0	Otostrongylis	0.971693543834761
ES3358	pup	Female	6	Case	1	0	0	0	0	0	1	0	Otostrongylis	0.755761645204814
ES3359	pup	Male	6	Case	1	0	0	0	0	0	1	0	Otostrongylis	0.57278720004137
ES3361	pup	Female	6	Case	0	0	0	0	1	0	1	0	Otostrongylis	1.13844406426009
ES3368	pup	Female	6	Case	0	0	0	0	0	0	1	0	Otostrongylis	1.14557440008274
